"","spp.abb","AphiaID","AphiaID_acc","Species","Genus","Family","Order","Class","Phylum","Body_Size.value","MovementMethod-burrower","MovementMethod-crawler","MovementMethod-floater","MovementMethod-motile","MovementMethod-permanent_attachment","MovementMethod-sessile","MovementMethod-swimmer","MovementMethod-temporary_attachment","MovementMethod-tube-dwelling","Feeding_Method-browser","Feeding_Method-deposit_feeder","Feeding_Method-filter_feeder","Feeding_Method-grazer","Feeding_Method-predator","Feeding_Method-scavenger","Feeding_Method-suspension_feeder","Sociability-colonial","Sociability-gregarious","Sociability-solitary","Sociability-sometimes_gregarious","Lifespan","Migration-irregular/single_migration","Migration-non-migratory","Migration-regular","Habitat-demersal","Habitat-epifaunal","Habitat-infaunal","Diet-benthic_organisms","Diet-detritus","Diet-macroalgae","Diet-micro-organisms","Diet-omnivore","Diet-plankton","Diet-sediment_particles","Diet-suspended_particles/material","Reproductive_Frequency-annual","Reproductive_Frequency-biannual","Reproductive_Frequency-semelparous","Larval_Feeding_Strategy-lecithotrophic","Larval_Feeding_Strategy-planktotrophic","Reproductive_Period-episodic","Reproductive_Period-protracted","Developmental_Mechanism-benthic_larval_development","Developmental_Mechanism-direct_development","Developmental_Mechanism-fission","Developmental_Mechanism-larval_development","Developmental_Mechanism-oviparous","Developmental_Mechanism-pelagic_larval_development","Reproductive_Timing-1","Reproductive_Timing-2","Reproductive_Timing-3","Reproductive_Timing-4","Reproductive_Timing-5","Reproductive_Timing-6","Reproductive_Timing-7","Reproductive_Timing-8","Reproductive_Timing-9","Reproductive_Timing-10","Reproductive_Timing-11","Reproductive_Timing-12","Age_at_Maturity.value","Larval_Duration.value","Fecundity.value","Size_of_Eggs.value"
"Amphipholis squamata","Amphs",125064,125064,"Amphipholis squamata","Amphipholis","Amphiuridae","Ophiurida","Ophiuroidea","Echinodermata",-0.484768495987494,0,1,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,-0.468643458706658,NA,NA,NA,NA,NA,NA,1,0,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,-0.50858571395108,NA,-0.272851139380816,-0.0475018293773939
"Amphiura chiajei","Ampc",125073,125073,"Amphiura chiajei","Amphiura","Amphiuridae","Ophiurida","Ophiuroidea","Echinodermata",-0.479045188311599,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,-0.18051451742775,0,1,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,1,1,0,NA,NA,NA,NA,NA,NA,0,0,0,0,0,1,1,1,1,1,1,0,0.789572296244495,NA,NA,NA
"Amphiura filiformis","Amphrfl",125080,125080,"Amphiura filiformis","Amphiura","Amphiuridae","Ophiurida","Ophiuroidea","Echinodermata",-0.479999072924248,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,1,0,0.359727247470203,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,NA,NA,NA,NA,NA,NA,0,0,0,0,0,1,1,1,0,0,0,0,0.789572296244495,2.02175733956122,-0.260225251072393,NA
"Anapagurus laevis","Anpl",107218,107218,"Anapagurus laevis","Anapagurus","Paguridae","Decapoda","Malacostraca","Arthropoda",-0.422765996165293,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,-0.468643458706658,0,1,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.292226045585151,NA,NA,NA
"Anoplodactylus petiolatus","Anpp",134723,134723,"Anoplodactylus petiolatus","Anoplodactylus","Phoxichilidiidae","Pantopoda","Pycnogonida","Arthropoda",-0.480952957536897,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,NA,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Antedon bifida","Antb",124201,124201,"Antedon bifida","Antedon","Antedonidae","Comatulida","Crinoidea","Echinodermata",0.464346693598504,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,NA,NA,NA,NA,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.292226045585151,-0.817003117784547,NA,NA
"Aonides paucibranchiata","Andp",131107,131107,"Aonides paucibranchiata","Aonides","Spionidae","Spionida","Polychaeta","Annelida",-0.394149457785816,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aphelochaeta marioni","Aphm",129938,129938,"Aphelochaeta marioni","Aphelochaeta","Cirratulidae","Terebellida","Polychaeta","Annelida",-0.42753541922854,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,-0.468643458706658,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,1,1,0,-0.50858571395108,NA,-0.272739808902745,NA
"Aphrodita aculeata","Apha",129840,129840,"Aphrodita aculeata","Aphrodita","Aphroditidae","Phyllodocida","Polychaeta","Annelida",-0.298760996520892,1,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,NA,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,1,1,1,1,0,0,0,0,0,0,1,NA,NA,NA,NA
"Aporrhais pespelecani","Aprp",138760,138760,"Aporrhais pespelecani","Aporrhais","Aporrhaidae","Littorinimorpha","Gastropoda","Mollusca",-0.449474765319472,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,NA,NA,NA,NA,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,1,1,0,NA,NA,NA,NA,NA,NA,0,0,1,1,1,1,1,1,1,1,1,0,NA,NA,NA,NA
"Aporrhais serresianus","Aprs",138761,138761,"Aporrhais serresianus","Aporrhais","Aporrhaidae","Littorinimorpha","Gastropoda","Mollusca",-0.127061766244028,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,-0.18051451742775,0,1,0,0,1,1,0,1,1,0,0,0,0,0,1,0,0,NA,NA,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.292226045585151,0.0179264284936194,NA,NA
"Arctica islandica","Arci",138802,138802,"Arctica islandica","Arctica","Arcticidae","Veneroida","Bivalvia","Mollusca",-0.375071765532831,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,NA,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0,0,4.46768665846529,NA,NA,-0.419509613803011
"Arenicola marina","Arnm",129868,129868,"Arenicola marina","Arenicola","Arenicolidae","Capitellida","Polychaeta","Annelida",1.41823130624775,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,-0.18051451742775,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,NA,NA,NA,NA,NA,NA,1,1,0,0,0,0,0,0,1,1,1,1,-0.292226045585151,NA,NA,NA
"Astarte sulcata","Asts",138824,138824,"Astarte sulcata","Astarte","Astartidae","Carditoida","Bivalvia","Mollusca",-0.460921380671263,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,NA,NA,NA,NA,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,1,1,0,NA,NA,NA,NA,NA,NA,1,1,0,0,0,0,0,0,1,1,1,1,NA,NA,NA,NA
"Asterias rubens","Astr",123776,123776,"Asterias rubens","Asterias","Asteriidae","Forcipulatida","Asteroidea","Echinodermata",4.47066206672533,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,-0.18051451742775,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,NA,NA,NA,NA,NA,NA,0,1,1,1,0,0,0,0,0,0,0,0,-0.50858571395108,NA,0.359683092727898,NA
"Asterina gibbosa","Astg",123987,123987,"Asterina gibbosa","Asterina","Asterinidae","Valvatida","Asteroidea","Echinodermata",-0.0125956127261184,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,-0.18051451742775,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,NA,NA,NA,NA,NA,NA,0,0,0,0,1,1,0,0,0,0,0,0,-0.292226045585151,NA,-0.272623417948399,NA
"Axinella dissimilis","Axnd",132473,132473,"Axinella dissimilis","Axinella","Axinellidae","Halichondrida","Demospongiae","Porifera",-0.341685804090108,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,NA,0,1,0,0,1,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Azorinus chamasolen","Azrc",141541,141541,"Azorinus chamasolen","Azorinus","Solecurtidae","Veneroida","Bivalvia","Mollusca",-0.432304842291786,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bathyporeia elegans","Bthe",103058,103058,"Bathyporeia elegans","Bathyporeia","Bathyporeiidae","Amphipoda","Malacostraca","Arthropoda",-0.484768495987494,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,NA,NA,NA,NA,0,0,1,0,0,0,0,1,0,0,0,1,0,0,NA,NA,0,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,-0.50858571395108,NA,-0.272874670595499,NA
"Bathyporeia guilliamsoniana","Bthg",103060,103060,"Bathyporeia guilliamsoniana","Bathyporeia","Bathyporeiidae","Amphipoda","Malacostraca","Arthropoda",-0.481906842149547,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,NA,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bolocera tuediae","Blct",100817,100817,"Bolocera tuediae","Bolocera","Actiniidae","Actiniaria","Anthozoa","Cnidaria",-0.150908881560259,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0.359727247470203,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,NA,NA,NA,NA,NA,NA,0,1,1,0,0,0,0,0,0,0,0,0,0.789572296244495,-0.483031299273281,NA,NA
"Botryllus schlosseri","Btrs",103862,103862,"Botryllus schlosseri","Botryllus","Styelidae","Stolidobranchia","Ascidiacea","Chordata",-0.484768495987494,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,NA,0,1,0,0,1,0,0,0,0,0,0,0,0,1,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.50858571395108,-0.967290436114617,-0.272874417571685,NA
"Branchiostoma lanceolatum","Brnl",104906,104906,"Branchiostoma lanceolatum","Branchiostoma","Branchiostomatidae","Leptocardii","Leptocardii","Chordata",-0.432304842291786,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,NA,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brissopsis lyrifera","Brsl",124373,124373,"Brissopsis lyrifera","Brissopsis","Brissidae","Spatangoida","Echinoidea","Echinodermata",-0.422765996165293,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,NA,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,1,1,1,1,1,1,0,0.789572296244495,NA,-0.0198526279661578,NA
"Buccinum undatum","Bccu",138878,138878,"Buccinum undatum","Buccinum","Buccinidae","Neogastropoda","Gastropoda","Mollusca",-0.384610611659324,1,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,1,0,0.359727247470203,0,1,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,NA,NA,0,1,1,1,0,0,0,0,1,1,1,1,1,0,0,0,0,1,1,1,2.52044964317193,NA,-0.267815965486274,0.628875960487364
"Bugula turbinata","Bglt",111166,111166,"Bugula turbinata","Bugula","Bugulidae","Cheilostomatida","Gymnolaemata","Bryozoa",0.082792848538806,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,NA,0,1,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,1,NA,NA,NA,NA,NA,NA,0,0,0,0,0,1,1,1,1,1,1,0,-0.50858571395108,-0.967290436114617,NA,NA
"Callianassa subterranea","Clls",107729,107729,"Callianassa subterranea","Callianassa","Callianassidae","Decapoda","Malacostraca","Arthropoda",-0.451382534544771,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,-0.648724047005975,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,-0.50858571395108,0.0179264284936194,NA,NA
"Calocaris macandreae","Clcm",107726,107726,"Calocaris macandreae","Calocaris","Axiidae","Decapoda","Malacostraca","Arthropoda",-0.107984073991043,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cancer pagurus","Cncp",107276,107276,"Cancer pagurus","Cancer","Cancridae","Decapoda","Malacostraca","Arthropoda",1.89517361257237,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1.80037195386474,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,NA,NA,NA,NA,NA,NA,1,1,0,0,0,0,0,0,0,0,0,1,2.52044964317193,2.02175733956122,0.486194999625917,NA
"Capitella capitata","Cptc",129876,129876,"Capitella capitata","Capitella","Capitellidae","Capitellida","Polychaeta","Annelida",-0.394149457785816,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,-0.648724047005975,0,1,0,0,0,1,0,1,0,1,0,1,0,0,1,0,0,1,0,0,1,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,-0.50858571395108,NA,-0.272724627473918,0.628875960487364
"Carcinus maenas","Crcm",107381,107381,"Carcinus maenas","Carcinus","Portunidae","Decapoda","Malacostraca","Arthropoda",0.206797848183208,0,1,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,-0.18051451742775,NA,NA,NA,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.292226045585151,0.0179264284936194,-0.226067036209928,NA
"Caryophyllia smithii","Crys",135144,135144,"Caryophyllia smithii","Caryophyllia","Caryophylliidae","Scleractinia","Anthozoa","Cnidaria",-0.346455227153354,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0.359727247470203,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,NA,NA,NA,NA,NA,NA,1,1,1,0,0,0,0,0,0,0,0,0,NA,2.02175733956122,NA,NA
"Cerastoderma edule","Crse",138998,138998,"Cerastoderma edule","Cerastoderma","Cardiidae","Veneroida","Bivalvia","Mollusca",-0.441843688418278,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,-0.18051451742775,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,-0.292226045585151,NA,NA,-0.385690724309773
"Cerianthus lloydii","Crnl",283798,283798,"Cerianthus lloydii","Cerianthus","Cerianthidae","Ceriantharia","Anthozoa","Cnidaria",0.941288999923126,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0.359727247470203,0,1,0,0,0,1,0,0,0,0,0,1,0,0,NA,NA,NA,0,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,0,0,0,0,NA,2.02175733956122,NA,0.628875960487364
"Chaetopterus variopedatus","Chtv",129914,129914,"Chaetopterus variopedatus","Chaetopterus","Chaetopteridae","Spionida","Polychaeta","Annelida",-0.251066765888429,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,1,0,NA,0,1,0,NA,NA,NA,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.483031299273281,NA,NA
"Chaetozone setosa","Chts",129955,129955,"Chaetozone setosa","Chaetozone","Cirratulidae","Terebellida","Polychaeta","Annelida",-0.465690803734509,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,-0.648724047005975,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
